113.8, -23.1552, 13.8007, -3.0181, -17.1032, -3.80911, 31.7037, 11.0016, 20.2057, 2.24636, -5.96406, -0.277337
-23.1552, 144.946, 45.3688, 23.4085, 3.67013, 0.221707, -39.0065, 18.3448, -6.49789, 2.40199, 6.03155, 2.60924
13.8007, 45.3688, 18.2246, 7.46491, -2.00881, -0.652034, -7.3396, 8.40549, 1.63048, 1.25464, 0.931943, 0.843375
-3.0181, 23.4085, 7.46491, 3.78735, 0.488437, -0.000398964, -6.3848, 3.06124, -1.02995, 0.402643, 0.984884, 0.431254
-17.1032, 3.67013, -2.00881, 0.488437, 2.57781, 0.551101, -5.2622, -1.61244, -3.23073, -0.33824, 0.981166, 0.0612288
-3.80911, 0.221707, -0.652034, -0.000398964, 0.551101, 0.189718, 0.386652, -0.487594, -0.111691, -0.0733522, -0.0472598, -0.0476157
31.7037, -39.0065, -7.3396, -6.3848, -5.2622, 0.386652, 47.7555, -8.54528, 15.9695, -0.686147, -7.95454, -2.20461
11.0016, 18.3448, 8.40549, 3.06124, -1.61244, -0.487594, -8.54528, 19.2655, 7.35806, 2.99672, 0.696619, 1.65628
20.2057, -6.49789, 1.63048, -1.02995, -3.23073, -0.111691, 15.9695, 7.35806, 11.224, 1.42585, -3.07859, -0.0104721
2.24636, 2.40199, 1.25464, 0.402643, -0.33824, -0.0733522, -0.686147, 2.99672, 1.42585, 0.47554, -0.00346951, 0.236132
-5.96406, 6.03155, 0.931943, 0.984884, 0.981166, -0.0472598, -7.95454, 0.696619, -3.07859, -0.00346951, 1.35475, 0.315516
-0.277337, 2.60924, 0.843375, 0.431254, 0.0612288, -0.0476157, -2.20461, 1.65628, -0.0104721, 0.236132, 0.315516, 0.191541
